stock_symbol,stock_price,stock_name
BFINVEST,763,BF Investment Limited
BGLOBAL,3.11,BF Utilities Limited
BFUTILITIE,981,Bharatiya Global Infomedia Limited
BGRENERGY,43.25,BGR Energy Systems Limited
BHAGCHEM,350.05,Bhagiradha Chemicals & Industries Limited
BHAGERIA,213.9,Bhageria Industries Limited
BHANDARI,6.7,Bhagyanagar India Limited
BHAGYANGR,103.52,Bhandari Hosiery Exports Limited
BHARATFORG,1439,Bharat Forge Limited
BHARATGEAR,103.67,Bharat Gears Limited
BHARATRAS,11250,Bharat Rasayan Limited
BHARATWIRE,245,Bharat Wire Ropes Limited
BHARTIARTL,1690,Bharti Airtel Limited
BHARTIHEXA,1515.5,Bharti Hexacom Limited
BIGBLOC,126.12,Bharat Heavy Electricals Limited
BHEL,247,Bigbloc Construction Limited
BIKAJI,890.05,Bikaji Foods International Limited
BINANIIND,16.92,Bhartiya International Limited
BIL,709,Binani Industries Limited
BIOCON,336.05,Biocon Limited
BIRLACABLE,232.5,Biofil Chemicals & Pharmaceuticals Limited
BIOFILCHEM,67.98,Birla Cable Limited
BKMINDST,1.58,Birla Corporation Limited
BIRLACORPN,1206.9,Aditya Birla Money Limited
BIRLAMONEY,0,Bkm Industries Limited
BLAL,235,BEML Land Assets Limited
BLISSGVS,131.4,BLB Limited
BLKASHYAP,83.35,Bliss GVS Pharma Limited
BLS,366.35,B. L. Kashyap and Sons Limited
BLUECHIP,7.21,BLS International Services Limited
BLUECOAST,10.51,BLS E-Services Limited
BLBLIMITED,21,Blue Chip India Limited
BLSE,210.2,Blue Coast Hotels Limited
BLUEDART,8216,Blue Dart Express Limited
BLUEJET,502,Blue Jet Healthcare Limited
BOHRAIND,17.36,Blue Star Limited
BLUESTARCO,2005,Bodal Chemicals Limited
BODALCHEM,80.8,Bohra Industries Limited
BOROLTD,437.95,Bombay Dyeing & Mfg Company Limited
BOMDYEING,240.6,Borosil Limited
BORORENEW,446.1,BOROSIL RENEWABLES LIMITED
BOROSCI,178,Borosil Scientific Limited
BPCL,331,Bosch Limited
BPL,113.51,Bharat Petroleum Corporation Limited
BOSCHLTD,36761,BPL Limited
BRIGADE,1256,Brigade Enterprises Limited
BROOKS,144.2,Britannia Industries Limited
BRITANNIA,5776.7,Bharat Road Network Limited
BRNL,45.74,Brooks Laboratories Limited
BSL,219,BSE Limited
BSHSL,166,Bombay Super Hybrid Seeds Limited
BSE,4350,BSL Limited
BSOFT,593,BIRLASOFT LIMITED
BTML,13,Bodhi Tree Multimedia Limited
BURNPUR,6.7,Burnpur Cement Limited
BUTTERFLY,882,Butterfly Gandhimathi Appliances Limited
BVCL,56.53,Barak Valley Cements Limited
CALSOFT,19.34,The Byke Hospitality Ltd
CAMLINFINE,105.3,California Software Company Limited
BYKE,63.55,Camlin Fine Sciences Limited
CAMS,4640,Campus Activewear Limited
CAMPUS,295,Computer Age Management Services Limited
CANBK,102.74,Canara Bank
CANFINHOME,860,Can Fin Homes Limited
CAPACITE,355,Cantabil Retail India Limited
CAPLIPOINT,1904,Capacit'e Infraprojects Limited
CAPTRUST,122,Capital Small Finance Bank Limited
CAPITALSFB,291.65,Caplin Point Laboratories Limited
CARBORUNIV,1440.6,Capital Trust Limited
CANTABIL,240.5,Carborundum Universal Limited
CARTRADE,1004.5,Career Point Limited
CARERATING,1201.2,CARE Ratings Limited
CARYSIL,792,Cartrade Tech Limited
CAREERP,515,CARYSIL LIMITED
CASTROLIND,216.61,Castrol India Limited
CCHHL,19.35,Consolidated Construction Consortium Limited
CCL,640.1,Country Club Hospitality & Holidays Limited
CDSL,1547.05,CCL Products (India) Limited
CEATLTD,2975,Central Depository Services (India) Limited
CEIGALL,373.5,CEAT Limited
CELEBRITY,15.01,Ceigall India Limited
CELLO,857,Celebrity Fashions Limited
CENTENKA,571.5,Cello World Limited
CENTEXT,24.76,Century Enka Limited
CENTRUM,34.15,Century Extrusions Limited
CCCL,20.7,Central Bank of India
CENTRALBK,56.3,Centrum Capital Limited
CENTUM,1831.1,Centum Electronics Limited
CERA,7630,Century Plyboards (India) Limited
CESC,192.35,Cera Sanitaryware Limited
CEREBRAINT,10.98,Cerebra Integrated Technologies Limited
CGCL,192.5,CESC Limited
CENTURYPLY,888,Capri Global Capital Limited
CGPOWER,791,CG Power and Industrial Solutions Limited
CHALET,865.15,Chalet Hotels Limited
CHEMBOND,592.7,Chambal Fertilizers & Chemicals Limited
CHEMCON,250,Chembond Chemicals Ltd
CHAMBLFERT,485.6,Chemcon Speciality Chemicals Limited
CHENNPETRO,906.55,Chemfab Alkalis Limited
CHOICEIN,487.45,Chemplast Sanmar Limited
CHEMPLASTS,479,Chennai Petroleum Corporation Limited
CHEVIOT,1273,Cheviot Company Limited
CHOLAFIN,1440,Choice International Limited
CHOLAHLDNG,1990,Cholamandalam Investment and Finance Company Limited
CIEINDIA,530,Cholamandalam Financial Holdings Limited
CHEMFAB,1139,CIE Automotive India Limited
CINELINE,110.05,Cigniti Technologies Limited
CIGNITITEC,1396.05,Cineline India Limited
CLEDUCATE,118.05,Cinevista Limited
CIPLA,1518.8,Cipla Limited
CLEAN,1586.8,Clean Science and Technology Limited
CINEVISTA,19.18,CL Educate Limited
CMICABLES,5.22,Chaman Lal Setia Exports Limited
CLSEL,315,CMI Limited
CMSINFO,581,CMS Info Systems Limited
COALINDIA,484.6,Coal India Limited
COFFEEDAY,33,Coastal Corporation Limited
COFORGE,6810,Cochin Shipyard Limited
COCHINSHIP,1530,Coffee Day Enterprises Limited
COASTCORP,256,Coforge Limited
COMPUSOFT,29.94,Colgate Palmolive (India) Limited
COLPAL,3345,Compuage Infocom Limited
COMPINFO,3.13,Compucom Software Limited
COMSYN,60.35,Commercial Syn Bags Limited
CONCOR,845.3,Container Corporation of India Limited
CONCORDBIO,1932,Concord Biotech Limited
CONFIPET,79.61,Confidence Petroleum India Limited
CORALFINAC,51,Consolidated Finvest & Holdings Limited
CONTROLPR,800.75,Control Print Limited
CONSOFINVT,217.5,Coral India Finance & Housing Limited
CORDSCABLE,205,Cords Cable Industries Limited
COSMOFIRST,765.9,Coromandel International Limited
COROMANDEL,1600.5,COSMO FIRST LIMITED
COUNCODOS,6.56,Country Condo's Limited
CRAFTSMAN,5881,Craftsman Automation Limited
CREATIVE,831,Creative Newtech Limited
CREST,485,Creative Eye Limited
CREDITACC,1014,CREDITACCESS GRAMEEN LIMITED
CREATIVEYE,9.49,Crest Ventures Limited
CRISIL,4923.65,CRISIL Limited
CROWN,246.2,Crompton Greaves Consumer Electricals Limited
CROMPTON,404,Crown Lifters Limited
CSBBANK,305.35,CSB Bank Limited
CSLFINANCE,379.5,CSL Finance Limited
CTE,94.99,Cambridge Technology Enterprises Limited
CUB,150.2,City Union Bank Limited
CUMMINSIND,3578.05,Cubex Tubings Limited
CUBEXTUB,110,Cummins India Limited
CUPID,75.98,Cupid Limited
CYBERMEDIA,27.45,Cyber Media (India) Limited
CYBERTECH,212,Cybertech Systems And Software Limited
CYIENT,1788,Cyient Limited
CYIENTDLM,708,Cyient DLM Limited
DABUR,568.65,Dabur India Limited
DALBHARAT,1841.8,Dalmia Bharat Limited
DALMIASUG,489,Dalmia Bharat Sugar and Industries Limited
DAMODARIND,44.4,Damodar Industries Limited
DANGEE,7.6,Dangee Dums Limited
DATAMATICS,586.7,Datamatics Global Services Limited
DAVANGERE,6.58,Data Patterns (India) Limited
DATAPATTNS,2364.85,Davangere Sugar Company Limited
DBCORP,332.6,D.B.Corp Limited
DBL,488.2,Dilip Buildcon Limited
DBREALTY,172.3,Dhampur Bio Organics Limited
DBOL,133.65,Valor Estate Limited
DBSTOCKBRO,50,DB (International) Stock Brokers Limited
DCBBANK,114.5,Dishman Carbogen Amcis Limited
DCAL,188,DCB Bank Limited
DCI,386.65,Dc Infotech And Communication Limited
DCM,95,DCM  Limited
DCMFINSERV,6.95,DCM Financial Services Limited
DCMNVL,209.22,DCM Nouvelle Limited
DCMSHRIRAM,1102,DCM Shriram Limited
DCMSRIND,192.8,DCM Shriram Industries Limited
DCW,102.35,DCW Limited
DCXINDIA,303.35,DCX Systems Limited
DECCANCE,595,Deccan Cements Limited
DELHIVERY,389.05,DEE Development Engineers Limited
DEEPAKFERT,987.5,Deepak Fertilizers and Petrochemicals Corporation Limited
DEN,47.25,Deepak Nitrite Limited
DEEPAKNTR,2778,Deep Industries Limited
DELPHIFX,337.8,Delhivery Limited
DEEDEV,242.95,DELPHI WORLD MONEY LIMITED
DEEPINDS,461,Delta Corp Limited
DELTAMAGNT,97.5,Delta Manufacturing Limited
DELTACORP,118.75,Den Networks Limited
DENORA,1460.45,De Nora India Limited
DHAMPURSUG,202.32,Dev Information Technology Limited
DEVIT,139.06,Devyani International Limited
DHARMAJ,314.15,Digicontent Limited
DHRUV,117.27,Dhampur Sugar Mills Limited
DHANI,61.3,Dhanlaxmi Bank Limited
DHANBANK,36.75,Dhani Services Limited
DHANUKA,1490,Dhanuka Agritech Limited
DGCONTENT,0,Dharmaj Crop Guard Limited
DHUNINV,2479.8,Dhruv Consultancy Services Limited
DIFFNKG,408.3,Dhunseri Investments Limited
DIACABS,1798,Diamond Power Infrastructure Limited
DIAMINESQ,533.5,Diamines & Chemicals Limited
DIAMONDYD,1089.95,Prataap Snacks Limited
DIGIDRIVE,45.46,DIC India Limited
DIGISPICE,31.48,Diffusion Engineers Limited
DICIND,786,Digidrive Distributors Limited
DIGJAMLMTD,85,DiGiSPICE Technologies Limited
DIVGIITTS,600,Digjam Limited
DIL,5.6,Debock Industries Limited
DIXON,15361.45,Dish TV India Limited
DISHTV,13.28,Divgi Torqtransfer Systems Limited
DIVISLAB,5915,Divi's Laboratories Limited
DEVYANI,171.75,Dixon Technologies (India) Limited
DLF,858.7,DJ Mediaprint & Logistics Limited
DODLA,1286.5,DLF Limited
DMCC,260.1,D-Link (India) Limited
DMART,3965.15,Avenue Supermarts Limited
DOLATALGO,135.9,DMCC SPECIALITY CHEMICALS LIMITED
DLINKINDIA,538,Diligent Media Corporation Limited
DNAMEDIA,5.01,Dodla Dairy Limited
DJML,122,Dolat Algotech Limited
