stock_symbol,stock_price,stock_name
MOLDTKPAC,726,Mold-Tek Technologies Limited
MONARCH,420.4,Mold-Tek Packaging Limited
MOKSH,19,Monarch Networth Capital Limited
MORARJEE,10.8,Monte Carlo Fashions Limited
MONTECARLO,804,Morarjee Textiles Limited
MOREPENLAB,81.5,Morepen Laboratories Limited
MOTISONS,298.1,Samvardhana Motherson International Limited
MOTILALOFS,961.95,Motilal Oswal Financial Services Limited
MPHASIS,2979,Motisons Jewellers Limited
MOTHERSON,199.25,The Motor & General Finance Limited
MOTOGENFIN,36.67,MphasiS Limited
MPSLTD,2200,MPS Limited
MRO-TEK,93,MRF Limited
MRF,128249.95,MRO-TEK Realty Limited
MRPL,157.6,Mangalore Refinery and Petrochemicals Limited
MSTCLTD,702,MSP Steel & Power Limited
MSPL,47,Mstc Limited
MTARTECH,1668,Motherson Sumi Wiring India Limited
MSUMI,63.6,Mtar Technologies Limited
MUFIN,101.7,MT Educare Limited
MTNL,50.25,Mahanagar Telephone Nigam Limited
MTEDUCARE,3.14,Mufin Green Finance Limited
MUFTI,183,Credo Brands Marketing Limited
MUKANDLTD,152.1,Mukand Limited
MUKKA,46.06,Mukka Proteins Limited
MUKTAARTS,83.89,Mukta Arts Limited
MURUDCERA,54.19,Munjal Auto Industries Limited
MUNJALAU,138.8,Munjal Showa Limited
MUTHOOTCAP,351,Murudeshwar Ceramics Limited
MUTHOOTFIN,1941,Muthoot Capital Services Limited
MUTHOOTMF,212,Muthoot Finance Limited
MVGJL,244.8,Muthoot Microfin Limited
MUNJALSHOW,157.76,Manoj Vaibhav Gems N Jewellers Limited
NACLIND,52.31,NACL Industries Limited
NAGAFERT,10.57,Nagarjuna Fertilizers and Chemicals Limited
NAGREEKCAP,28.89,Nagreeka Capital & Infrastructure Limited
NAGREEKEXP,37.99,Nagreeka Exports Limited
NAHARCAP,337.5,Nahar Capital and Financial Services Limited
NAHARPOLY,250.7,Nahar Industrial Enterprises Limited
NAHARINDUS,145.78,Nahar Poly Films Limited
NAHARSPING,284,Nahar Spinning Mills Limited
NAM-INDIA,701.55,Nippon Life India Asset Management Limited
NARMADA,15.51,Narmada Agrobase Limited
NATIONALUM,230,Natco Pharma Limited
NATCOPHARM,1369.95,Nath Bio-Genes (India) Limited
NATHBIOGEN,204.9,National Aluminium Company Limited
NAVINFLUOR,3296.75,Info Edge (India) Limited
NAVKARCORP,132.8,NAVA LIMITED
NAUKRI,7920,Navin Fluorine International Limited
NAVA,960.9,Navkar Corporation Limited
NAZARA,904.95,Navneet Education Limited
NBIFIN,2601,Nazara Technologies Limited
NAVNETEDUL,135,NBCC (India) Limited
NBCC,102.49,N. B. I. Industrial Finance Company Limited
NCLIND,202.7,NCC Limited
NCC,302,NCL Industries Limited
NDGL,5920,Naga Dhunseri Group Limited
NDLVENTURE,113.25,Nandan Denim Limited
NDL,5.41,NDL Ventures Limited
NDRAUTO,803.85,Ndr Auto Components Limited
NDTV,174.05,New Delhi Television Limited
NECCLTD,29.22,North Eastern Carrying Corporation Limited
NELCO,958,Nectar Lifesciences Limited
NELCAST,123.03,Nelcast Limited
NECLIFE,36.33,NELCO Limited
NEOGEN,1980,Neogen Chemicals Limited
NESCO,933.25,Nesco Limited
NETWORK18,79.94,Nestle India Limited
NESTLEIND,2356.45,Netweb Technologies India Limited
NETWEB,2748,Network18 Media & Investments Limited
NEULANDLAB,13560.5,Neuland Laboratories Limited
NEWGEN,1267,Newgen Software Technologies Limited
NEXTMEDIA,7,Next Mediaworks Limited
NFL,114.9,National Fertilizers Limited
NGLFINE,2107.8,Nakoda Group of Industries Limited
NGIL,40,NGL Fine-Chem Limited
NH,1275.35,Narayana Hrudayalaya Ltd.
NIITLTD,168.1,NHPC Limited
NIBL,33.41,The New India Assurance Company Limited
NHPC,81.8,NRB Industrial Bearings Limited
NIACL,206.99,NIIT Limited
NIITMTS,496,NIIT Learning Systems Limited
NILKAMAL,1877.1,Nila Infrastructures Limited
NIPPOBATRY,555,Nila Spaces Limited
NILAINFRA,12.39,Nilkamal Limited
NINSYS,573,NINtec Systems Limited
NIRAJISPAT,236.39,Indo-National Limited
NITCO,120.01,Niraj Cement Structurals Limited
NIRAJ,65,Niraj Ispat Industries Limited
NITINSPIN,406.35,Nitco Limited
NITIRAJ,252,Nitin Spinners Limited
NILASPACES,0,Nitiraj Engineers Limited
NKIND,48,NK Industries Limited
NLCINDIA,256.95,NLC India Limited
NORTHARC,249.9,NMDC Limited
NMDC,225.14,NOCIL Limited
NOCIL,289.3,Noida Toll Bridge Company Limited
NOIDATOLL,14.25,Norben Tea & Exports Limited
NOVAAGRI,62.44,Northern Arc Capital Limited
NRBBEARING,268.5,Nova Agritech Limited
NRAIL,341.6,N R Agarwal Industries Limited
NRL,129.69,NRB Bearing Limited
NORBTEAEXP,0,Nupur Recyclers Limited
NSIL,7753,Nalwa Sons Investments Limited
NSLNISP,47.95,NMDC Steel Limited
NTL,3.27,Neueon Towers Limited
NTPC,423,NTPC Limited
NURECA,295.45,Nucleus Software Exports Limited
NUCLEUS,1231.85,Nureca Limited
NUVOCO,344.5,Nuvama Wealth Management Limited
NYKAA,182,Nuvoco Vistas Corporation Limited
OAL,593.4,FSN E-Commerce Ventures Limited
NUVAMA,6946,Oriental Aromatics Limited
OBCL,56.76,Orissa Bengal Carrier Limited
OCCL,262,Oberoi Realty Limited
OBEROIRLTY,1989.3,Oriental Carbon & Chemicals Limited
OFSS,11175,Oracle Financial Services Software Limited
OIL,530.5,Oil India Limited
OLAELEC,81.4,Oil Country Tubular Limited
OMAXAUTO,120.3,Ola Electric Mobility Limited
OILCOUNTUB,0,Olectra Greentech Limited
OMAXE,121,Omax Autos Limited
OLECTRA,1719.9,Omaxe Limited
ONGC,276.6,OM INFRA LIMITED
OMINFRAL,161.75,Omkar Speciality Chemicals Limited
OMKARCHEM,8.5,Onelife Capital Advisors Limited
ONEPOINT,63.18,One Point One Solutions Limited
ONMOBILE,83.35,Oil & Natural Gas Corporation Limited
ONELIFECAP,17.53,OnMobile Global Limited
ONWARDTEC,368,Onward Technologies Limited
OPTIEMUS,678,Optiemus Infracom Limited
ORCHPHARMA,1320,Orbit Exports Limited
ORBTEXP,188.67,Orchid Pharma Limited
ORICONENT,36.49,Oricon Enterprises Limited
ORIENTALTL,11.62,Oriental Trimex Limited
ORIENTBELL,323,Orient Bell Limited
ORIENTCEM,352.8,Orient Cement Limited
ORIENTCER,49.22,ORIENT CERATECH LIMITED
ORIENTELEC,224.02,Orient Electric Limited
ORIENTHOT,173.1,Oriental Hotels Limited
ORIENTLTD,107.4,Orient Press Limited
ORIENTPPR,43.65,Orient Paper & Industries Limited
ORIENTTECH,291.5,Orient Technologies Limited
ORISSAMINE,8373,The Orissa Minerals Development Company Limited
ORTINGLOBE,18.82,Ortel Communications Limited
ORTEL,2.16,ORTIN GLOBAL LIMITED
OSIAHYPER,36.79,Osia Hyper Retail Limited
OSWALGREEN,48.81,Oswal Agro Mills Limited
OSWALSEEDS,23.34,Oswal Greentech Limited
PAGEIND,44577.2,ShreeOswal Seeds And Chemicals Limited
PAISALO,48.3,Page Industries Limited
PALASHSECU,160.7,Paisalo Digital Limited
PAKKA,294.3,PAKKA LIMITED
PALREDTEC,110.11,Palash Securities Limited
OSWALAGRO,0,Palred Technologies Limited
PANACEABIO,326.3,Panacea Biotec Limited
PAR,237.5,Panache Digilife Limited
PANSARI,127,Panama Petrochem Limited
PANAMAPET,393.8,Pansari Developers Limited
PARAGMILK,209.19,Par Drugs And Chemicals Limited
PANACHE,0,Paramount Communications Limited
PARACABLES,72.8,Paradeep Phosphates Limited
PARADEEP,91.15,Parag Milk Foods Limited
PARAS,1018,Paras Defence and Space Technologies Limited
PARKHOTELS,155.11,Paras Petrofils Limited
PASUPTAC,46.98,Apeejay Surrendra Park Hotels Limited
PATANJALI,1778.9,Parsvnath Developers Limited
PATINTLOG,22.32,Pasupati Acrylon Limited
PATELENG,53.6,Patanjali Foods Limited
PARSVNATH,19.86,Patel Engineering Limited
PAVNAIND,665,Patel Integrated Logistics Limited
PARASPETRO,3.13,Pavna Industries Limited
PAYTM,725.25,One 97 Communications Limited
PCBL,464.25,PCBL LIMITED
PDSL,500,PC Jeweller Limited
PCJEWELLER,175.7,Pudumjee Paper Products Limited
PDMJEPAPER,113.47,PDS Limited
PEL,1032.1,Pearl Polymers Limited
PEARLPOLY,38.55,Piramal Enterprises Limited
PENINLAND,49.43,Pennar Industries Limited
PENIND,203.48,Peninsula Land Limited
PERSISTENT,5256,Persistent Systems Limited
PETRONET,345.9,Petronet LNG Limited
PFC,462.65,Power Finance Corporation Limited
PFS,46.01,Pfizer Limited
PFOCUS,150.21,Prime Focus Limited
PFIZER,5590,PTC India Financial Services Limited
PGEL,584.8,PG Electroplast Limited
PGHH,16301,Procter & Gamble Hygiene and Health Care Limited
PHOENIXLTD,1569.1,Procter & Gamble Health Limited
PGIL,953.25,Pearl Global Industries Limited
PGHL,5150,The Phoenix Mills Limited
PIDILITIND,3150,Pidilite Industries Limited
PIIND,4410,Power & Instrumentation (Gujarat) Limited
PIONEEREMB,48.99,PI Industries Limited
PILANIINVS,7536.05,Pilani Investment and Industries Corporation Limited
PILITA,15.75,PIL ITALICA LIFESTYLE LIMITED
PIGL,237.45,Pioneer Embroideries Limited
PIXTRANS,1507,Pitti Engineering Limited
PITTIENG,1300,Pix Transmissions Limited
PKTEA,416.1,The Peria Karamalai Tea & Produce Company Limited
PLASTIBLEN,270,Plastiblends India Limited
PNB,101.95,Platinum Industries Limited
PLATIND,468,Plaza Wires Limited
PLAZACABLE,82,Punjab National Bank
PNBGILTS,118.25,PNB Gilts Limited
PNBHOUSING,916.15,PNB Housing Finance Limited
PNGJL,738,Pritish Nandy Communications Limited
PNC,63.4,PNC Infratech Limited
POCL,1007.9,P N Gadgil Jewellers Limited
PNCINFRA,366.8,Pondy Oxides & Chemicals Limited
PODDARMENT,400,Poddar Housing and Development Limited
PODDARHOUS,73.81,Poddar Pigments Limited
POKARNA,1054.85,Pokarna Limited
POLICYBZR,1662.5,PB Fintech Limited
POLYCAB,6838,Polycab India Limited
POLYMED,2430,Poly Medicure Limited
POLYPLEX,1192,Polyplex Corporation Limited
PONNIERODE,446,Ponni Sugars (Erode) Limited
POWERINDIA,14889.95,Poonawalla Fincorp Limited
POWERGRID,331.05,Power Grid Corporation of India Limited
POONAWALLA,377.1,Hitachi Energy India Limited
POWERMECH,3101.05,Power Mech Projects Limited
PPAP,192.99,PPAP Automotive Limited
PPL,555,Prakash Pipes Limited
PRAENG,32.65,Piramal Pharma Limited
PPLPHARMA,227,Prajay Engineers Syndicate Limited
PRAKASH,166.4,Praj Industries Limited
PRAKASHSTL,8.67,Prakash Industries Limited
PRECAM,304.5,Prakash Steelage Limited
PRECOT,431.35,Praxis Home Retail Limited
PRECWIRE,198.31,Precision Camshafts Limited
PREMEXPLN,501.95,Precot Limited
PRAJIND,772.8,Precision Wires India Limited
PREMIER,3.73,Premier Explosives Limited
PREMIERPOL,309,Premier Limited
PRAXIS,27.82,Premier Energies Limited
PREMIERENE,1038.8,Premier Polyfilm Limited
PRICOLLTD,464,Prestige Estates Projects Limited
PRESTIGE,1731.1,Pricol Limited
PRIMESECU,328.8,Prime Securities Limited
PRITI,135.82,Prince Pipes And Fittings Limited
PRINCEPIPE,535,Priti International Limited
PRIVISCL,1733,Pritika Auto Industries Limited
PRITIKAUTO,25.24,Privi Speciality Chemicals Limited
PROZONER,24.88,Prozone Realty Limited
PRSMJOHNSN,186.9,Prism Johnson Limited
PRUDENT,2688,Prudent Corporate Advisory Services Limited
PSB,51.9,Prudential Sugar Corporation Limited
PSPPROJECT,635,Punjab & Sind Bank
PRUDMOULI,74.36,PSP Projects Limited
PTC,179,PTC India Limited
PTCIL,12850,PTC Industries Limited
PTL,42.4,PTL Enterprises Limited
PUNJABCHEM,1166,Punjab Chemicals & Crop Protection Limited
PURVA,429.95,Puravankara Limited
PVP,26.62,PVP Ventures Limited
PVRINOX,1580.85,PVR INOX Limited
PVSL,186.88,Popular Vehicles and Services Limited
QUESS,723,Pyramid Technoplast Limited
PYRAMID,211.05,Quess Corp Limited
QUICKHEAL,668,Quick Heal Technologies Limited
QUINTEGRA,1.57,Quintegra Solutions Limited
RADHIKAJWE,133.4,Race Eco Chain Limited
RACE,379.7,Radaan Mediaworks India Limited
RADAAN,3.48,Radhika Jeweltech Limited
RADIANTCMS,80.94,Radiant Cash Management Services Limited
RADIOCITY,15.07,Radico Khaitan Limited
RADICO,2187.2,Music Broadcast Limited
RAILTEL,409.2,Railtel Corporation Of India Limited
RAIN,169.99,Rain Industries Limited
RAINBOW,1404,Rainbow Childrens Medicare Limited
RAJESHEXPO,273.5,Rajesh Exports Limited
RAJMET,9.8,Rajnandini Metal Limited
RAJRATAN,566.75,Rajratan Global Wire Limited
RAJRILTD,22.99,Raj Rayon Industries Limited
RAJTV,44,Rajshree Sugars & Chemicals Limited
RAJSREESUG,67.68,Raj Television Network Limited
RAMASTEEL,12.9,Rajvir Industries Limited
RAMANEWS,18.7,Rallis India Limited
RAMAPHO,209.72,Shree Rama Newsprint Limited
RAMCOCEM,832.9,Rama Phosphates Limited
RALLIS,344.35,Rama Steel Tubes Limited
RAJVIR,8.46,The Ramco Cements Limited
RAMCOIND,242,Ramco Industries Limited
RAMCOSYS,391.1,Ramco Systems Limited
RAMKY,642.5,Ramky Infrastructure Limited
RANEHOLDIN,1949.75,Ram Ratna Wires Limited
RANASUG,20.6,Rana Sugars Limited
RATEGAIN,742,Rane Engine Valve Limited
RAMRAT,645.5,Rane Holdings Limited
RANEENGINE,455.75,Rategain Travel Technologies Limited
RATNAMANI,3555,Ratnamani Metals & Tubes Limited
RBA,99,Ratnaveer Precision Engineering Limited
RAYMONDLSL,2413.15,Raymond Limited
RAYMOND,1689,Raymond Lifestyle Limited
RBLBANK,177,Restaurant Brands Asia Limited
RBL,1090,Rane Brake Lining Limited
RBZJEWEL,195,RBL Bank Limited
RCF,166.85,RBZ Jewellers Limited
RATNAVEER,186.34,Rashtriya Chemicals and Fertilizers Limited
RCOM,2.32,Reliance Communications Limited
RECLTD,529,REC Limited
REDTAPE,937,Redington Limited
REFEX,495.1,Redtape Limited
REDINGTON,174,Refex Industries Limited
RELAXO,774.1,Regency Ceramics Limited
RELIANCE,2736,Relaxo Footwears Limited
RELCHEMQ,210.25,Reliance Chemotex Industries Limited
RELIGARE,264.05,Reliable Data Services Limited
RELIABLE,75.5,Reliance Industries Limited
REGENCERAM,0,Religare Enterprises Limited
RELTD,143.13,Reliance Infrastructure Limited
RELINFRA,267.2,Ravindra Energy Limited
RENUKA,42.6,Remsons Industries Limited
REPCOHOME,501,Shree Renuka Sugars Limited
REMSONSIND,193.16,Repco Home Finance Limited
REPRO,574.95,Rudrabhishek Enterprises Limited
RESPONIND,281,Repro India Limited
RETAIL,51.11,Responsive Industries Limited
RGL,182.2,JHS Svendgaard Retail Ventures Limited
REPL,208.01,Revathi Equipment India Limited
RHFL,4.51,Renaissance Global Limited
REVATHIEQU,2250,Reliance Home Finance Limited
RHL,215,RHI MAGNESITA INDIA LIMITED
RHIM,593,Robust Hotels Limited
RICOAUTO,99.34,Rico Auto Industries Limited
RITES,299.75,Reliance Industrial Infrastructure Limited
RIIL,1198,Rishabh Instruments Limited
RITCO,388.75,Ritco Logistics Limited
RKDL,24.28,RITES Limited
RKFORGE,993.8,Ravi Kumar Distilleries Limited
ROHLTD,328.5,RKEC Projects Limited
RML,1036.9,Ramkrishna Forgings Limited
RISHABH,355.65,R K Swamy Limited
RKSWAMY,246.34,Rane (Madras) Limited
RKEC,128.66,Royal Orchid Hotels Limited
ROLEXRINGS,2230.8,Rolex Rings Limited
ROLTA,4.19,Rollatainers Limited
ROLLT,2.12,Rolta India Limited
ROSSELLIND,96,Raj Oil Mills Limited
RPEL,1357,Rossari Biotech Limited
ROML,48,Rossell India Limited
ROSSARI,831,Roto Pumps Limited
ROTO,554,ROUTE MOBILE LIMITED
RPGLIFE,2745.05,Raghav Productivity Enhancers Limited
ROUTE,1579.95,RPG Life Sciences Limited
RPPL,36,Reliance Power Limited
RPOWER,40.32,R.P.P. Infra Projects Limited
RPPINFRA,190.15,Rajshree Polypack Limited
RPTECH,375.3,RPSG VENTURES LIMITED
RPSGVENT,1064,Rashi Peripherals Limited
RSWM,196.51,R R Kabel Limited
RSSOFTWARE,271.25,R. S. Software (India) Limited
RTNINDIA,69.72,RSWM Limited
RRKABEL,1681.1,R Systems International Limited
RTNPOWER,15.24,RattanIndia Enterprises Limited
RSYSTEMS,517,RattanIndia Power Limited
RUBFILA,78.01,Rubfila International Limited
RUBYMILLS,254.05,The Ruby Mills Limited
RUCHINFRA,13.44,Ruchi Infrastructure Limited
RUCHIRA,127.7,Ruchira Papers Limited
RUSTOMJEE,711.25,Rupa & Company Limited
RVHL,53,Rushil Decor Limited
RUSHIL,33.14,Keystone Realtors Limited
S&SPOWER,412,Ravinder Heights Limited
RUPA,273,Rail Vikas Nigam Limited
RVNL,463.8,S&S Power Switchgears Limited
SABEVENTS,16.08,Sab Events & Governance Now Media Limited
SADBHAV,32.82,Sri Adhikari Brothers Television Network Limited
SADBHIN,6.53,Sadbhav Engineering Limited
SAFARI,2416.4,Sadbhav Infrastructure Project Limited
SAGARDEEP,27,Sadhana Nitrochem Limited
SABTNL,1132.85,Safari Industries (India) Limited
SADHNANIQ,52.5,Sagardeep Alloys Limited
SAGCEM,215.9,Sagar Cements Limited
SAHYADRI,338.2,Sah Polymers Limited
SAH,93.25,Sahyadri Industries Limited
SAIL,126.6,Steel Authority of India Limited
SAKHTISUG,37.48,Sakar Healthcare Limited
SAKSOFT,231.35,Sakthi Sugars Limited
SAKAR,316.3,Saksoft Limited
SALONA,287.95,Sakuma Exports Limited
SALSTEEL,26.44,Salasar Techno Engineering Limited
SAKUMA,4.18,Salona Cotspin Limited
SAMBHAAV,5.82,S.A.L. Steel Limited
SALASAR,18.35,Salzer Electronics Limited
SAMHI,198.1,Sambhaav Media Limited
SALZERELEC,1071.2,Samhi Hotels Limited
SANDESH,1655.05,Sammaan Capital Limited
SAMPANN,27.7,Sampann Utpadan India Limited
SANCO,4.35,Sanco Industries Limited
SANDUMA,440.65,The Sandesh Limited
SAMMAANCAP,142.01,Sandhar Technologies Limited
SANDHAR,504.1,Sandur Manganese & Iron Ores Limited
SANGAMIND,402.9,Sangam (India) Limited
SANGHIIND,80.1,Sanghi Industries Limited
SANGINITA,15.41,Sanghvi Movers Limited
SANGHVIMOV,431.75,Sanginita Chemicals Limited
SANOFI,6696.7,Sanofi India Limited
SANOFICONR,4860,Sanofi Consumer Healthcare India Limited
SAPPHIRE,345,Sansera Engineering Limited
SANSERA,1540,Sanstar Limited
SANSTAR,125,Sanwaria Consumer Limited
SANWARIA,0.46,Sapphire Foods India Limited
SARLAPOLY,87,Sarda Energy & Minerals Limited
SARVESHWAR,10.45,Saregama India Limited
SARDAEN,488,Sarla Performance Fibers Limited
SAREGAMA,508.1,Sarveshwar Foods Limited
SASKEN,1711,Sasken Technologies Limited
SATIA,110.5,Sastasundar Ventures Limited
SASTASUNDR,301.1,Satia Industries Limited
SATIN,171,Satin Creditcare Network Limited
SAURASHCEM,109.5,Sat Industries Limited
SATINDLTD,133.99,Saurashtra Cement Limited
SBC,28.55,SBC Exports Limited
SBCL,667,Shivalik Bimetal Controls Limited
SBICARD,714.7,SBFC Finance Limited
SBILIFE,1707,Suratwwala Business Group Limited
SBFC,84.25,SBI Cards and Payment Services Limited
SBGLP,136.95,SBI Life Insurance Company Limited
SBIN,813,State Bank of India
SCHAND,210.15,Schaeffler India Limited
SCHAEFFLER,3965,S Chand And Company Limited
SCHNEIDER,800.3,Schneider Electric Infrastructure Limited
SCI,230.85,Shipping Corporation Of India Limited
SCILAL,64.25,Shipping Corporation of India Land and Assets Limited
SCPL,359,Sheetal Cool Products Limited
SECMARK,115.9,Som Distilleries & Breweries Limited
SDBL,103.9,Seamec Limited
SEAMECLTD,1395.25,SecMark Consultancy Limited
SECURCRED,3.97,SecUR Credentials Limited
SECURKLOUD,37.55,SECUREKLOUD TECHNOLOGIES LIMITED
SEJALLTD,519,Sejal Glass Limited
SELAN,832,Selan Exploration Technology Limited
SENCO,1354.9,SEL Manufacturing Company Limited
SELMC,47.43,SEMAC CONSULTANTS LIMITED
SEPC,26.75,Senco Gold Limited
SEMAC,403.3,SEPC Limited
SEQUENT,190,Sequent Scientific Limited
SERVOTECH,177.1,Servotech Power Systems Limited
SESHAPAPER,314.8,Seshasayee Paper and Boards Limited
SETUINFRA,0.96,Setco Automotive Limited
SETCO,10.43,Setubandhan Infrastructure Limited
SEYAIND,25.46,Seya Industries Limited
SFL,875.5,Sheela Foam Limited
SGIL,381.8,Synergy Green Industries Limited
SHAHALLOYS,74.82,STL Global Limited
SGL,17.97,Shah Metacorp Limited
SHAH,5.16,Shah Alloys Limited
SHAILY,914.8,Shaily Engineering Plastics Limited
SHAKTIPUMP,4460,Shakti Pumps (India) Limited
SHALBY,256,Shalby Limited
SHALPAINTS,123.4,Shalimar Paints Limited
SHANKARA,499.8,Shankara Building Products Limited
SHANTI,16.85,Shanti Overseas (India) Limited
SHANTIGEAR,597.2,Shanthi Gears Limited
SHAREINDIA,311.6,Sharda Cropchem Limited
SHARDAMOTR,2140.4,Sharda Motor Industries Limited
SHARDACROP,593,Share India Securities Limited
SHEKHAWATI,48.04,Shekhawati Industries Limited
SHEMAROO,166.9,Shemaroo Entertainment Limited
SHIVALIK,547.7,Shilpa Medicare Limited
SHILPAMED,840,Shivalik Rasayan Limited
SHOPERSTOP,730,Shivam Autotech Limited
SHIVAMAUTO,43.02,Shiva Mills Limited
SHREECEM,24207.6,Shiva Texyarn Limited
SHREDIGCEM,90.88,S H Kelkar and Company Limited
SHK,307.9,Shoppers Stop Limited
SHIVAMILLS,93.35,Shradha Infraprojects Limited
SHIVATEX,237.2,Shree Digvijay Cement Co.Ltd
SHRADHA,0,SHREE CEMENT LIMITED
SHREEPUSHK,269,Shree Pushkar Chemicals & Fertilisers Limited
SHREERAMA,28.95,Shree Rama Multi-Tech Limited
SHRENIK,0.76,Shrenik Limited
SHREYAS,364.1,Shreyans Industries Limited
SHREYANIND,250,Shreyas Shipping & Logistics Limited
SHRIRAMFIN,3309.8,Shriram Pistons & Rings Limited
SHRIPISTON,2107,Shriram Finance Limited
SHYAMCENT,17.5,Shriram Properties Limited
SHRIRAMPPS,113.19,Shyam Century Ferrous Limited
SIGIND,71,Shyam Metalics and Energy Limited
SIGNATURE,1482,Shyam Telecom Limited
SHYAMMETL,873.25,Sical Logistics Limited
SIGNPOST,230.05,Siemens Limited
SIL,27.21,Sigachi Industries Limited
SILGO,49.98,Signet Industries Limited
SIKKO,96.45,Sigma Solve Limited
SILINV,877.1,Signatureglobal (India) Limited
SIMBHALS,23.99,Signpost India Limited
SILVERTUC,720,Sikko Industries Limited
SHYAMTEL,15.04,Standard Industries Limited
SINCLAIR,93.47,Silgo Retail Limited
SIMPLEXINF,238.9,SIL Investments Limited
SICALLOG,158.95,Silly Monks Entertainment Limited
SILLYMONKS,22.6,Silver Touch Technologies Limited
SIEMENS,7488.8,Simbhaoli Sugars Limited
SINDHUTRAD,23.23,Simplex Infrastructures Limited
SINTERCOM,157,Sinclairs Hotels Limited
SIRCA,321,Sindhu Trade Links Limited
SIGACHI,48.98,Sintercom India Limited
SIS,399,Sirca Paints India Limited
SITINET,0.95,SIS LIMITED
SIYSIL,508.35,Siti Networks Limited
SJS,1090.1,Siyaram Silk Mills Limited
SIGMA,368.5,S.J.S. Enterprises Limited
SJVN,119,SJVN Limited
SKIL,5.39,SKF India Limited
SKIPPER,539.8,SKIL Infrastructure Limited
SKMEGGPROD,253.5,Skipper Limited
SKFINDIA,5299.65,SKM Egg Products Export (India) Limited
SMCGLOBAL,160.6,Sky Gold Limited
SMLISUZU,1804.05,Smartlink Holdings Limited
SKYGOLD,3337,SMC Global Securities Limited
SMARTLINK,235,SML Isuzu Limited
SMLT,187,Sarthak Metals Limited
SMSLIFE,1431,SMS Lifesciences India Limited
SMSPHARMA,307.55,SMS Pharmaceuticals Limited
SNOWMAN,75.21,Snowman Logistics Limited
SOBHA,1700.1,Sobha Limited
SOLARINDS,11200.9,Softtech Engineers Limited
SOFTTECH,349,Solara Active Pharma Sciences Limited
SOLARA,822.05,Solar Industries India Limited
SOMATEX,41.35,Somany Ceramics Limited
SOMANYCERA,701,Soma Textiles & Industries Limited
SONACOMS,633.55,Somi Conveyor Beltings Limited
SOMICONVEY,0,Sona BLW Precision Forgings Limited
SONATSOFTW,610.15,SONAM LIMITED
SONAMLTD,0,Sonata Software Limited
SOUTHBANK,24.9,Savita Oil Technologies Limited
SOTL,524.5,The South Indian Bank Limited
SPAL,861.85,South West Pinnacle Exploration Limited
SPANDANA,480,S. P. Apparels Limited
SPARC,210,Spandana Sphoorty Financial Limited
SOUTHWEST,121.79,Sun Pharma Advanced Research Company Limited
SPCENET,25.45,Spacenet Enterprises India Limited
SPECIALITY,164.26,Speciality Restaurants Limited
SPENCERS,95,Spencer's Retail Limited
SPORTKING,113.2,Southern Petrochemicals Industries Corporation  Limited
SPIC,79.8,SPL Industries Limited
SPLIL,56.5,Supreme Petrochem Limited
SPMLINFRA,228.85,SPML Infra Limited
SRD,100,Sportking India Limited
SREEL,263.4,Shankar Lal Rampal Dye-Chem Limited
SPLPETRO,789.95,Sreeleathers Limited
SRF,2280,SRF Limited
SRM,272.4,SRG Housing Finance Limited
SRGHFL,339.5,Sree Rayalaseema Hi-Strength Hypo Limited
SRPL,1.78,SRM Contractors Limited
STARCEMENT,206.21,Shree Ram Proteins Limited
SSDL,139.5,Saraswati Saree Depot Limited
SRHHYPOLTD,775.3,Steel Strips Wheels Limited
STANLEY,503.95,Stanley Lifestyles Limited
SSWL,211,Strides Pharma Science Limited
STAR,1639.5,Star Cement Limited
STARHEALTH,543,Star Health and Allied Insurance Company Limited
STARPAPER,209,Star Paper Mills Limited
STEELCAS,770.8,Starteck Finance Limited
STCINDIA,155,The State Trading Corporation of India Limited
STARTECK,275,Steelcast Limited
STEELCITY,97,Steel City Securities Limited
STEELXIND,11.93,STEEL EXCHANGE INDIA LIMITED
STEL,574.5,Stel Holdings Limited
STERTOOLS,533.85,Sterling Tools Limited
STLTECH,120.3,Sterlite Technologies Limited
STOVEKRAFT,864.95,Stove Kraft Limited
STYLAMIND,2315,Stylam Industries Limited
STYRENIX,2505,Baazar Style Retail Limited
SUBEXLTD,23.97,Styrenix Performance Materials Limited
SUBROS,671.1,Subex Limited
STYLEBAAZA,349.4,Subros Limited
SUDARSCHEM,1005,Sudarshan Chemical Industries Limited
SULA,423.9,Sukhjit Starch & Chemicals Limited
SUKHJITS,577,Sula Vineyards Limited
SUMICHEM,527.5,Sumitomo Chemical India Limited
SUMIT,135.5,Sumit Woods Limited
SUNCLAY,2215,Summit Securities Limited
SUMMITSEC,3173,Sundaram Clayton Limited
SUNDARMHLD,355.5,Sundaram Multi Pap Limited
SUNDARMFIN,5050,Sundaram Finance Limited
SUNDARAM,2.76,Sundaram Finance Holdings Limited
SUNDRMBRAK,868.9,Sundaram Brake Linings Limited
SUNTECK,575.1,Sundram Fasteners Limited
SUNFLAG,211.4,Sunflag Iron And Steel Company Limited
SUNPHARMA,1891,Sun Pharmaceutical Industries Limited
SUNTV,754.95,Sunteck Realty Limited
SUNDRMFAST,1385.6,Sun TV Network Limited
SUPREMEENG,3.29,Superhouse Limited
SUPERSPIN,9.8,Super Spinning Mills Limited
SUPERHOUSE,230.9,Suprajit Engineering Limited
SUPRAJIT,503.75,Supreme Engineering Limited
SUPREMEIND,5002.05,Supreme Industries Limited
